categoria,competicion,grupo,jornada,fecha,hora,estadio,superficie,árbitro,equipo_local,equipo_visitante,goles_local,goles_visitante,resultado,link_acta
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,8,03-11-2024,12:30,O Xeixo - Trazo,Hierba Natural,"HERNANDEZ GIADANS, AGUSTIN",TRAZO C.F.,A.C.U.D. CAMPORRAPADO,2,1,2-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187002&cod_acta=1187002
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,8,03-11-2024,16:30,Suso Conde,Hierba Artificial,"TORRES CORRAL, BEATRIZ MARIA",S.D. VILLESTRO,C.D.BELVIS,0,2,0-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187003&cod_acta=1187003
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,8,03-11-2024,17:00,San Mamed,Hierba Artificial,"SOTO PEREZ, SECUNDINO",C.D. SAN MAMED,C.D. SPORT TEAM ESTRADA,0,2,0-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187004&cod_acta=1187004
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,8,03-11-2024,17:00,Campo Municipal Jesús Carlos Pampin Rua,Hierba Artificial,"ELESPE TIREUX, NICOLAS",C.F. CIRE DE MELIDE,SOCIEDADE DEPORTIVA O PINO,3,0,3-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187005&cod_acta=1187005
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,8,03-11-2024,16:15,A Raña - Rodeiro,Hierba Artificial,"ENRIQUEZ PEREIRO, OSCAR",RODEIRO C.F.,S.D.C. RECESENDE,1,0,1-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187006&cod_acta=1187006
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,17:00,A Cañoteira - Cacheiras-Antigo Ignacio,Hierba Artificial,"CASTRO CASTRO, MIGUEL ANGEL",S.D. CACHEIRAS,S.D. CRUCES,2,0,2-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187007&cod_acta=1187007
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,16:30,Outeiriño,Hierba Artificial,"FERNANDEZ MONTOUTO, RUBEN",C.F. SILLEDA,S.D. DUBRA B,1,1,1-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187008&cod_acta=1187008
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,16:45,Mularedos,Hierba Natural,"ENRIQUEZ PEREIRO, OSCAR",LAMELA C.F.,TRAZO C.F.,4,3,4-3,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187009&cod_acta=1187009
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,16:15,Da Silveira- Camporrapado,Hierba Natural,"SOTO PEREZ, SECUNDINO",A.C.U.D. CAMPORRAPADO,S.D. VILLESTRO,0,2,0-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187010&cod_acta=1187010
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,16:00,Suso Conde,Hierba Artificial,"MIRAZO INSUA, PEDRO",C.D.BELVIS,C.D. SAN MAMED,1,0,1-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187011&cod_acta=1187011
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,17:30,Mcpal. Manuel Regueiro - Antiguo Figueroa,Hierba Artificial,"RODRIGUEZ MUNIN, DANIEL",C.D. SPORT TEAM ESTRADA,C.F. CIRE DE MELIDE,0,0,0-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187012&cod_acta=1187012
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,17:00,Reboredo- Arca- O Pino,Hierba Artificial,"QUINTANA PEREIRO, SERGIO",SOCIEDADE DEPORTIVA O PINO,RODEIRO C.F.,2,0,2-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187013&cod_acta=1187013
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,17:00,O Coto - Val Do Ulla,Hierba Artificial,"GAY CASAL, JAVIER",U.D. VAL DO ULLA,S.D.C. RECESENDE,2,0,2-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187014&cod_acta=1187014
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,10,17-11-2024,20:00,Mpal Do Camballón,Hierba Artificial,"COUTO MENDOZA, OSCAR",S.D. CRUCES,U.D. VAL DO ULLA,0,1,0-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187015&cod_acta=1187015
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,10,17-11-2024,16:00,A Tilleira - Dubra,Hierba Artificial,"GOMEZ GUTIERREZ, ADRIAN JOSE",S.D. DUBRA B,S.D. CACHEIRAS,2,1,2-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187016&cod_acta=1187016
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,10,17-11-2024,16:00,O Xeixo - Trazo,Hierba Natural,"CANAY FERNANDEZ, BRAIS",TRAZO C.F.,C.F. SILLEDA,0,2,0-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187017&cod_acta=1187017
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,10,17-11-2024,16:00,Suso Conde,Hierba Artificial,"RODRIGUEZ VAAMONDE, RUBEN",S.D. VILLESTRO,LAMELA C.F.,0,2,0-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187018&cod_acta=1187018
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,10,17-11-2024,17:00,San Mamed,Hierba Artificial,"FERNANDEZ MONTOUTO, RUBEN",C.D. SAN MAMED,A.C.U.D. CAMPORRAPADO,3,2,3-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187019&cod_acta=1187019
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,10,17-11-2024,17:30,Campo Municipal Jesús Carlos Pampin Rua,Hierba Artificial,"FUENTES GARCIA, IAGO",C.F. CIRE DE MELIDE,C.D.BELVIS,3,0,3-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187020&cod_acta=1187020
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,10,17-11-2024,17:00,A Raña - Rodeiro,Hierba Artificial,"GAY CASAL, JAVIER",RODEIRO C.F.,C.D. SPORT TEAM ESTRADA,0,3,0-3,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187021&cod_acta=1187021
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,10,17-11-2024,16:15,A Devesiña - Recesende,Tierra,"FONTES MOSQUEIRA, XESUS",S.D.C. RECESENDE,SOCIEDADE DEPORTIVA O PINO,1,3,1-3,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187022&cod_acta=1187022
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,11,24-11-2024,17:00,Mpal Do Camballón,Hierba Artificial,"GAY CASAL, JAVIER",S.D. CRUCES,S.D. DUBRA B,1,2,1-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187023&cod_acta=1187023
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,11,08-12-2024,17:00,A Cañoteira - Cacheiras-Antigo Ignacio,Hierba Artificial,"GARCIA VEIRAS, RAUL",S.D. CACHEIRAS,TRAZO C.F.,0,0,0-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1256272&cod_acta=1256272
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,11,24-11-2024,17:15,Outeiriño,Hierba Artificial,"VILLANUEVA ANSEDES, CARMEN",C.F. SILLEDA,S.D. VILLESTRO,1,0,1-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187025&cod_acta=1187025
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,11,24-11-2024,16:30,Mularedos,Hierba Natural,"CASTRO SANMARTIN, SEBASTIAN",LAMELA C.F.,C.D. SAN MAMED,0,1,0-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187026&cod_acta=1187026
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,11,24-11-2024,16:15,Da Silveira- Camporrapado,Hierba Natural,"GOMEZ GUTIERREZ, ADRIAN JOSE",A.C.U.D. CAMPORRAPADO,C.F. CIRE DE MELIDE,1,1,1-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187027&cod_acta=1187027
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,11,24-11-2024,16:00,Campo de Fútbol Municipal As Cancelas,Hierba Artificial,"MARTINEZ LAREO , MARCOS",C.D.BELVIS,RODEIRO C.F.,3,0,3-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187028&cod_acta=1187028
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,11,24-11-2024,17:00,Mcpal. Manuel Regueiro - Antiguo Figueroa,Hierba Artificial,"FERNANDEZ MONTOUTO, RUBEN",C.D. SPORT TEAM ESTRADA,S.D.C. RECESENDE,9,0,9-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187029&cod_acta=1187029
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,11,24-11-2024,17:00,O Coto - Val Do Ulla,Hierba Artificial,"SOTO PEREZ, SECUNDINO",U.D. VAL DO ULLA,SOCIEDADE DEPORTIVA O PINO,2,0,2-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187030&cod_acta=1187030
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,12,01-12-2024,16:30,A Tilleira - Dubra,Hierba Artificial,"PIÑEIRO LUGO, JESUS",S.D. DUBRA B,U.D. VAL DO ULLA,0,2,0-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187031&cod_acta=1187031
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,12,01-12-2024,16:00,O Xeixo - Trazo,Hierba Natural,"VILAS LORENZO, MIGUEL ANGEL",TRAZO C.F.,S.D. CRUCES,0,1,0-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187032&cod_acta=1187032
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,12,01-12-2024,16:00,Suso Conde,Hierba Artificial,"VILLAMOR RIAL, NOEL",S.D. VILLESTRO,S.D. CACHEIRAS,1,2,1-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187033&cod_acta=1187033
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,12,01-12-2024,18:00,San Mamed,Hierba Artificial,"LAYA LOLO, XOEL",C.D. SAN MAMED,C.F. SILLEDA,1,2,1-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187034&cod_acta=1187034
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,12,01-12-2024,17:00,Campo Municipal Jesús Carlos Pampin Rua,Hierba Artificial,"ALAOUI SOULIMANI, AMINE",C.F. CIRE DE MELIDE,LAMELA C.F.,5,1,5-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187035&cod_acta=1187035
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,12,01-12-2024,16:00,A Raña - Rodeiro,Hierba Artificial,"VILLANUEVA ANSEDES, CARMEN",RODEIRO C.F.,A.C.U.D. CAMPORRAPADO,4,0,4-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187036&cod_acta=1187036
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,12,01-12-2024,16:00,A Devesiña - Recesende,Tierra,"FERNANDEZ LODEIRO, ABEL",S.D.C. RECESENDE,C.D.BELVIS,0,0,0-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187037&cod_acta=1187037
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,12,01-12-2024,17:00,Reboredo- Arca- O Pino,Hierba Artificial,"MARTINEZ SANTOS, OSCAR",SOCIEDADE DEPORTIVA O PINO,C.D. SPORT TEAM ESTRADA,2,1,2-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187038&cod_acta=1187038
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,13,14-12-2024,16:15,Juan Baleato,Hierba Natural,"FERRO BENITO, ANDRES",S.D. DUBRA B,TRAZO C.F.,2,2,2-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187039&cod_acta=1187039
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,13,15-12-2024,20:00,Mpal Do Camballón,Hierba Artificial,"FERNANDEZ MONTOUTO, RUBEN",S.D. CRUCES,S.D. VILLESTRO,3,2,3-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187040&cod_acta=1187040
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,13,15-12-2024,16:30,A Cañoteira - Cacheiras-Antigo Ignacio,Hierba Artificial,"REGO RODRIGUEZ, JOSE LUIS",S.D. CACHEIRAS,C.D. SAN MAMED,3,1,3-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187041&cod_acta=1187041
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,13,15-12-2024,17:00,Outeiriño,Hierba Artificial,"CASTRO LIÑARES, MARCO ALEJANDRO",C.F. SILLEDA,C.F. CIRE DE MELIDE,1,4,1-4,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187042&cod_acta=1187042
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,13,15-12-2024,16:30,Mularedos,Hierba Natural,"LAYA LOLO, XOEL",LAMELA C.F.,RODEIRO C.F.,1,5,1-5,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187043&cod_acta=1187043
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,13,15-12-2024,16:00,Da Silveira- Camporrapado,Hierba Natural,"GAY CASAL, JAVIER",A.C.U.D. CAMPORRAPADO,S.D.C. RECESENDE,1,2,1-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187044&cod_acta=1187044
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,13,15-12-2024,16:09,Campo de Fútbol Municipal As Cancelas,Hierba Artificial,"ENRIQUEZ PEREIRO, OSCAR",C.D.BELVIS,SOCIEDADE DEPORTIVA O PINO,2,0,2-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187045&cod_acta=1187045
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,13,15-12-2024,17:00,O Coto - Val Do Ulla,Hierba Artificial,"CASTRO SANMARTIN, SEBASTIAN",U.D. VAL DO ULLA,C.D. SPORT TEAM ESTRADA,3,6,3-6,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187046&cod_acta=1187046
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,14,22-12-2024,17:00,O Coto - Val Do Ulla,Hierba Artificial,"FERNANDEZ MONTOUTO, RUBEN",U.D. VAL DO ULLA,TRAZO C.F.,1,0,1-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187047&cod_acta=1187047
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,14,22-12-2024,16:00,Suso Conde,Hierba Artificial,"QUINTANA PEREIRO, SERGIO",S.D. VILLESTRO,S.D. DUBRA B,1,1,1-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187048&cod_acta=1187048
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,14,22-12-2024,12:00,San Mamed,Hierba Artificial,"GAY CASAL, JAVIER",C.D. SAN MAMED,S.D. CRUCES,1,2,1-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187049&cod_acta=1187049
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,14,21-12-2024,17:30,Campo Municipal Jesús Carlos Pampin Rua,Hierba Artificial,"VIDAL FONSECA, GUSTAVO",C.F. CIRE DE MELIDE,S.D. CACHEIRAS,1,2,1-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187050&cod_acta=1187050
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,14,22-12-2024,17:15,A Raña - Rodeiro,Hierba Artificial,"ENRIQUEZ PEREIRO, OSCAR",RODEIRO C.F.,C.F. SILLEDA,3,1,3-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187051&cod_acta=1187051
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,14,22-12-2024,16:15,A Devesiña - Recesende,Tierra,"HERNANDEZ GIADANS, AGUSTIN",S.D.C. RECESENDE,LAMELA C.F.,0,2,0-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187052&cod_acta=1187052
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,14,21-12-2024,16:00,Reboredo- Arca- O Pino,Hierba Artificial,"CASTRO LIÑARES, MARCO ALEJANDRO",SOCIEDADE DEPORTIVA O PINO,A.C.U.D. CAMPORRAPADO,2,1,2-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187053&cod_acta=1187053
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,14,22-12-2024,17:00,Mcpal. Manuel Regueiro - Antiguo Figueroa,Hierba Artificial,"GARCIA VEIRAS, RAUL",C.D. SPORT TEAM ESTRADA,C.D.BELVIS,2,0,2-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187054&cod_acta=1187054
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,15,12-01-2025,16:00,O Xeixo - Trazo,Hierba Natural,"REBOREDO RIADIGOS, JOSE LUIS",TRAZO C.F.,S.D. VILLESTRO,0,0,0-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187055&cod_acta=1187055
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,15,12-01-2025,16:30,A Tilleira - Dubra,Hierba Artificial,"ANTELO ROMERO, XAIRO",S.D. DUBRA B,C.D. SAN MAMED,2,1,2-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187056&cod_acta=1187056
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,15,12-01-2025,17:00,Mpal Do Camballón,Hierba Artificial,"RODRIGUEZ MUNIN, DANIEL",S.D. CRUCES,C.F. CIRE DE MELIDE,1,2,1-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187057&cod_acta=1187057
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,15,12-01-2025,16:15,A Cañoteira - Cacheiras-Antigo Ignacio,Hierba Artificial,"PIÑEIRO LUGO, JESUS",S.D. CACHEIRAS,RODEIRO C.F.,1,1,1-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187058&cod_acta=1187058
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,15,12-01-2025,17:00,Outeiriño,Hierba Artificial,"SOTO PEREZ, SECUNDINO",C.F. SILLEDA,S.D.C. RECESENDE,4,0,4-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187059&cod_acta=1187059
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,15,12-01-2025,16:30,Mularedos,Hierba Natural,"GAY CASAL, JAVIER",LAMELA C.F.,SOCIEDADE DEPORTIVA O PINO,2,0,2-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187060&cod_acta=1187060
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,15,12-01-2025,16:00,O Forte-Boqueixón,Hierba Artificial,"LAYA LOLO, XOEL",A.C.U.D. CAMPORRAPADO,C.D. SPORT TEAM ESTRADA,0,2,0-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187061&cod_acta=1187061
