cod_temporada,cod_competicion,cod_grupo,jornada,fecha,hora,estadio,superficie,árbitro,equipo_local,equipo_visitante,cod_acta,link_acta
20,20005965,22010839,1,15-09-2024,17:00,Campo de Fútbol Municipal As Cancelas,Hierba Artificial,"MIGUENS SANTIAGO, SERGIO",C.D.BELVIS,A.C.U.D. CAMPORRAPADO,1186943,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186943&cod_acta=1186943
20,20005965,22010839,1,15-09-2024,18:00,Mcpal. Manuel Regueiro - Antiguo Figueroa,Hierba Artificial,"NIETO ABELENDA, RODRIGO",C.D. SPORT TEAM ESTRADA,LAMELA C.F.,1186944,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186944&cod_acta=1186944
20,20005965,22010839,1,15-09-2024,17:00,Reboredo- Arca- O Pino,Hierba Artificial,"ALCALA REY, ALFONSO",SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,1186945,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186945&cod_acta=1186945
20,20005965,22010839,1,15-09-2024,18:15,A Devesiña - Recesende,Tierra,"PONTE APONTE, ADRIAN",S.D.C. RECESENDE,S.D. CACHEIRAS,1186946,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186946&cod_acta=1186946
20,20005965,22010839,1,15-09-2024,18:30,A Raña - Rodeiro,Hierba Artificial,"VARELA IGLESIAS, FERNANDO",RODEIRO C.F.,S.D. CRUCES,1186947,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186947&cod_acta=1186947
20,20005965,22010839,1,15-09-2024,18:00,Campo Municipal Jesús Carlos Pampin Rua,Hierba Artificial,"RODRIGUEZ MUNIN, DANIEL",C.F. CIRE DE MELIDE,"S.D. DUBRA ""B""",1186948,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186948&cod_acta=1186948
20,20005965,22010839,1,15-09-2024,18:00,San Mamed,Hierba Artificial,"SOTO PEREZ, SECUNDINO",C.D. SAN MAMED,TRAZO C.F.,1186949,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186949&cod_acta=1186949
20,20005965,22010839,1,15-09-2024,18:00,O Coto - Val Do Ulla,Hierba Artificial,"COUTO MENDOZA, OSCAR",U.D. VAL DO ULLA,S.D. VILLESTRO,1186950,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186950&cod_acta=1186950
20,20005965,22010839,2,22-09-2024,17:00,O Forte-Boqueixón,Hierba Artificial,"GOMEZ GUTIERREZ, ADRIAN JOSE",A.C.U.D. CAMPORRAPADO,U.D. VAL DO ULLA,1186951,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186951&cod_acta=1186951
20,20005965,22010839,2,22-09-2024,18:00,Mularedos,Hierba Natural,"SOTO PEREZ, SECUNDINO",LAMELA C.F.,C.D.BELVIS,1186952,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186952&cod_acta=1186952
20,20005965,22010839,2,22-09-2024,18:30,Outeiriño,Hierba Artificial,"PAZ HERMIDA, MANUEL",C.F. SILLEDA,C.D. SPORT TEAM ESTRADA,1186953,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186953&cod_acta=1186953
20,20005965,22010839,2,22-09-2024,18:00,A Cañoteira - Cacheiras-Antigo Ignacio,Hierba Artificial,"FERNANDEZ LODEIRO, ABEL",S.D. CACHEIRAS,SOCIEDADE DEPORTIVA O PINO,1186954,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186954&cod_acta=1186954
20,20005965,22010839,2,22-09-2024,20:00,Mpal Do Camballón,Hierba Artificial,"FERNANDEZ MONTOUTO, RUBEN",S.D. CRUCES,S.D.C. RECESENDE,1186955,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186955&cod_acta=1186955
20,20005965,22010839,2,22-09-2024,16:30,A Tilleira - Dubra,Hierba Artificial,"REBOREDO RIADIGOS, JOSE LUIS","S.D. DUBRA ""B""",RODEIRO C.F.,1186956,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186956&cod_acta=1186956
20,20005965,22010839,2,22-09-2024,18:30,O Xeixo - Trazo,Hierba Natural,"QUINTANA PEREIRO, SERGIO",TRAZO C.F.,C.F. CIRE DE MELIDE,1186957,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186957&cod_acta=1186957
20,20005965,22010839,2,22-09-2024,17:00,Suso Conde,Hierba Artificial,"GIL CALDELAS, SAMUEL",S.D. VILLESTRO,C.D. SAN MAMED,1186958,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186958&cod_acta=1186958
20,20005965,22010839,3,29-09-2024,18:30,O Forte-Boqueixón,Hierba Artificial,"GAY CASAL, JAVIER",A.C.U.D. CAMPORRAPADO,LAMELA C.F.,1186959,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186959&cod_acta=1186959
20,20005965,22010839,3,29-09-2024,16:00,Campo de Fútbol Municipal As Cancelas,Hierba Artificial,"MARTINEZ LAREO , MARCOS",C.D.BELVIS,C.F. SILLEDA,1186960,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186960&cod_acta=1186960
20,20005965,22010839,3,29-09-2024,17:00,Mcpal. Manuel Regueiro - Antiguo Figueroa,Hierba Artificial,"ENRIQUEZ PEREIRO, OSCAR",C.D. SPORT TEAM ESTRADA,S.D. CACHEIRAS,1186961,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186961&cod_acta=1186961
20,20005965,22010839,3,29-09-2024,17:00,Reboredo- Arca- O Pino,Hierba Artificial,"GARCIA IGLESIAS, BRAIS",SOCIEDADE DEPORTIVA O PINO,S.D. CRUCES,1186962,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186962&cod_acta=1186962
20,20005965,22010839,3,29-09-2024,17:00,A Devesiña - Recesende,Tierra,"ALAOUI SOULIMANI, AMINE",S.D.C. RECESENDE,"S.D. DUBRA ""B""",1186963,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186963&cod_acta=1186963
20,20005965,22010839,3,29-09-2024,18:30,A Raña - Rodeiro,Hierba Artificial,"FERNANDEZ MONTOUTO, RUBEN",RODEIRO C.F.,TRAZO C.F.,1186964,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186964&cod_acta=1186964
20,20005965,22010839,3,29-09-2024,17:30,Campo Municipal Jesús Carlos Pampin Rua,Hierba Artificial,"VIDAL FONSECA, GUSTAVO",C.F. CIRE DE MELIDE,S.D. VILLESTRO,1186965,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186965&cod_acta=1186965
20,20005965,22010839,3,29-09-2024,18:00,O Coto - Val Do Ulla,Hierba Artificial,"GARCIA VEIRAS, RAUL",U.D. VAL DO ULLA,C.D. SAN MAMED,1186966,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186966&cod_acta=1186966
20,20005965,22010839,4,06-10-2024,18:00,Mularedos,Hierba Natural,"PAZ HERMIDA, MANUEL",LAMELA C.F.,U.D. VAL DO ULLA,1186967,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186967&cod_acta=1186967
20,20005965,22010839,4,06-10-2024,17:00,Outeiriño,Hierba Artificial,"CASTRO SANMARTIN, SEBASTIAN",C.F. SILLEDA,A.C.U.D. CAMPORRAPADO,1186968,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186968&cod_acta=1186968
20,20005965,22010839,4,06-10-2024,17:00,A Cañoteira - Cacheiras-Antigo Ignacio,Hierba Artificial,"FONTES MOSQUEIRA, XESUS",S.D. CACHEIRAS,C.D.BELVIS,1186969,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186969&cod_acta=1186969
20,20005965,22010839,4,06-10-2024,17:00,Mpal Do Camballón,Hierba Artificial,"LAYA LOLO, XOEL",S.D. CRUCES,C.D. SPORT TEAM ESTRADA,1186970,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186970&cod_acta=1186970
20,20005965,22010839,4,06-10-2024,18:30,A Tilleira - Dubra,Hierba Artificial,"VIDAL FONSECA, GUSTAVO","S.D. DUBRA ""B""",SOCIEDADE DEPORTIVA O PINO,1186971,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186971&cod_acta=1186971
20,20005965,22010839,4,06-10-2024,18:00,O Xeixo - Trazo,Hierba Natural,"MIGUENS SANTIAGO, SERGIO",TRAZO C.F.,S.D.C. RECESENDE,1186972,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186972&cod_acta=1186972
20,20005965,22010839,4,06-10-2024,16:45,Suso Conde,Hierba Artificial,"COSTA CAROU, OSCAR",S.D. VILLESTRO,RODEIRO C.F.,1186973,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186973&cod_acta=1186973
20,20005965,22010839,4,06-10-2024,18:00,San Mamed,Hierba Artificial,"ALCALA REY, ALFONSO",C.D. SAN MAMED,C.F. CIRE DE MELIDE,1186974,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186974&cod_acta=1186974
20,20005965,22010839,5,13-10-2024,17:30,Mularedos,Hierba Natural,"ENRIQUEZ PEREIRO, OSCAR",LAMELA C.F.,C.F. SILLEDA,1186975,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186975&cod_acta=1186975
20,20005965,22010839,5,13-10-2024,16:30,O Forte-Boqueixón,Hierba Artificial,"PAZ HERMIDA, MANUEL",A.C.U.D. CAMPORRAPADO,S.D. CACHEIRAS,1186976,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186976&cod_acta=1186976
20,20005965,22010839,5,13-10-2024,16:00,Campo de Fútbol Municipal As Cancelas,Hierba Artificial,"BUJAN VIDAL, BORJA",C.D.BELVIS,S.D. CRUCES,1186977,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186977&cod_acta=1186977
20,20005965,22010839,5,13-10-2024,17:30,Mcpal. Manuel Regueiro - Antiguo Figueroa,Hierba Artificial,"TORRES CORRAL, BEATRIZ MARIA",C.D. SPORT TEAM ESTRADA,"S.D. DUBRA ""B""",1186978,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186978&cod_acta=1186978
20,20005965,22010839,5,13-10-2024,17:00,Reboredo- Arca- O Pino,Hierba Artificial,"PONTE APONTE, ADRIAN",SOCIEDADE DEPORTIVA O PINO,TRAZO C.F.,1186979,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186979&cod_acta=1186979
20,20005965,22010839,5,13-10-2024,16:30,A Devesiña - Recesende,Tierra,"FERNANDEZ LODEIRO, ABEL",S.D.C. RECESENDE,S.D. VILLESTRO,1186980,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186980&cod_acta=1186980
20,20005965,22010839,5,13-10-2024,18:30,A Raña - Rodeiro,Hierba Artificial,"GAY CASAL, JAVIER",RODEIRO C.F.,C.D. SAN MAMED,1186981,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186981&cod_acta=1186981
20,20005965,22010839,5,13-10-2024,17:00,O Coto - Val Do Ulla,Hierba Artificial,"GARCIA IGLESIAS, BRAIS",U.D. VAL DO ULLA,C.F. CIRE DE MELIDE,1186982,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186982&cod_acta=1186982
20,20005965,22010839,6,20-10-2024,17:30,Outeiriño,Hierba Artificial,"GIL CALDELAS, SAMUEL",C.F. SILLEDA,U.D. VAL DO ULLA,1186983,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186983&cod_acta=1186983
20,20005965,22010839,6,20-10-2024,18:00,A Cañoteira - Cacheiras-Antigo Ignacio,Hierba Artificial,"ALCALA REY, ALFONSO",S.D. CACHEIRAS,LAMELA C.F.,1186984,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186984&cod_acta=1186984
20,20005965,22010839,6,20-10-2024,20:00,Mpal Do Camballón,Hierba Artificial,"ENRIQUEZ PEREIRO, OSCAR",S.D. CRUCES,A.C.U.D. CAMPORRAPADO,1186985,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186985&cod_acta=1186985
20,20005965,22010839,6,20-10-2024,16:00,A Tilleira - Dubra,Hierba Artificial,"ANTELO ROMERO, XAIRO","S.D. DUBRA ""B""",C.D.BELVIS,1186986,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186986&cod_acta=1186986
20,20005965,22010839,6,19-10-2024,16:30,O Xeixo - Trazo,Hierba Natural,"FONTES MOSQUEIRA, XESUS",TRAZO C.F.,C.D. SPORT TEAM ESTRADA,1186987,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186987&cod_acta=1186987
20,20005965,22010839,6,20-10-2024,16:30,Suso Conde,Hierba Artificial,"CASAL BARREIRO, ADRIAN",S.D. VILLESTRO,SOCIEDADE DEPORTIVA O PINO,1186988,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186988&cod_acta=1186988
20,20005965,22010839,6,20-10-2024,18:00,San Mamed,Hierba Artificial,"HERNANDEZ GIADANS, AGUSTIN",C.D. SAN MAMED,S.D.C. RECESENDE,1186989,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186989&cod_acta=1186989
20,20005965,22010839,6,20-10-2024,12:00,Campo Municipal Jesús Carlos Pampin Rua,Hierba Artificial,"MARTINEZ SANTOS, OSCAR",C.F. CIRE DE MELIDE,RODEIRO C.F.,1186990,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186990&cod_acta=1186990
20,20005965,22010839,7,27-10-2024,16:30,Outeiriño,Hierba Artificial,"ANTELO ROMERO, XAIRO",C.F. SILLEDA,S.D. CACHEIRAS,1186991,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186991&cod_acta=1186991
20,20005965,22010839,7,27-10-2024,17:00,Mularedos,Hierba Natural,"GAY CASAL, JAVIER",LAMELA C.F.,S.D. CRUCES,1186992,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186992&cod_acta=1186992
20,20005965,22010839,7,27-10-2024,17:00,O Forte-Boqueixón,Hierba Artificial,"LAYA LOLO, XOEL",A.C.U.D. CAMPORRAPADO,"S.D. DUBRA ""B""",1186993,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186993&cod_acta=1186993
20,20005965,22010839,7,27-10-2024,16:30,Campo de Fútbol Municipal As Cancelas,Hierba Artificial,"GOMEZ GUTIERREZ, ADRIAN JOSE",C.D.BELVIS,TRAZO C.F.,1186994,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186994&cod_acta=1186994
20,20005965,22010839,7,27-10-2024,17:00,Mcpal. Manuel Regueiro - Antiguo Figueroa,Hierba Artificial,"CASTRO SANMARTIN, SEBASTIAN",C.D. SPORT TEAM ESTRADA,S.D. VILLESTRO,1186995,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186995&cod_acta=1186995
20,20005965,22010839,7,27-10-2024,17:00,Reboredo- Arca- O Pino,Hierba Artificial,"VILAS LORENZO, MIGUEL ANGEL",SOCIEDADE DEPORTIVA O PINO,C.D. SAN MAMED,1186996,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186996&cod_acta=1186996
20,20005965,22010839,7,27-10-2024,16:00,A Devesiña - Recesende,Tierra,"REGO RODRIGUEZ, JOSE LUIS",S.D.C. RECESENDE,C.F. CIRE DE MELIDE,1186997,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186997&cod_acta=1186997
20,20005965,22010839,7,27-10-2024,17:30,O Coto - Val Do Ulla,Hierba Artificial,"FERNANDEZ LODEIRO, ABEL",U.D. VAL DO ULLA,RODEIRO C.F.,1186998,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186998&cod_acta=1186998
20,20005965,22010839,8,03-11-2024,17:00,A Cañoteira - Cacheiras-Antigo Ignacio,Hierba Artificial,"REBOREDO RIADIGOS, JOSE LUIS",S.D. CACHEIRAS,U.D. VAL DO ULLA,1186999,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186999&cod_acta=1186999
20,20005965,22010839,8,03-11-2024,19:00,Mpal Do Camballón,Hierba Artificial,"CASTRO SANMARTIN, SEBASTIAN",S.D. CRUCES,C.F. SILLEDA,1187000,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187000&cod_acta=1187000
20,20005965,22010839,8,03-11-2024,16:30,A Tilleira - Dubra,Hierba Artificial,"MARTINEZ SANTOS, OSCAR","S.D. DUBRA ""B""",LAMELA C.F.,1187001,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187001&cod_acta=1187001
20,20005965,22010839,8,03-11-2024,12:30,O Xeixo - Trazo,Hierba Natural,"HERNANDEZ GIADANS, AGUSTIN",TRAZO C.F.,A.C.U.D. CAMPORRAPADO,1187002,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187002&cod_acta=1187002
20,20005965,22010839,8,03-11-2024,16:30,Suso Conde,Hierba Artificial,"TORRES CORRAL, BEATRIZ MARIA",S.D. VILLESTRO,C.D.BELVIS,1187003,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187003&cod_acta=1187003
20,20005965,22010839,8,03-11-2024,17:00,San Mamed,Hierba Artificial,"SOTO PEREZ, SECUNDINO",C.D. SAN MAMED,C.D. SPORT TEAM ESTRADA,1187004,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187004&cod_acta=1187004
20,20005965,22010839,8,03-11-2024,17:00,Campo Municipal Jesús Carlos Pampin Rua,Hierba Artificial,"ELESPE TIREUX, NICOLAS",C.F. CIRE DE MELIDE,SOCIEDADE DEPORTIVA O PINO,1187005,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187005&cod_acta=1187005
20,20005965,22010839,8,03-11-2024,16:15,A Raña - Rodeiro,Hierba Artificial,"ENRIQUEZ PEREIRO, OSCAR",RODEIRO C.F.,S.D.C. RECESENDE,1187006,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187006&cod_acta=1187006
20,20005965,22010839,9,10-11-2024,17:00,A Cañoteira - Cacheiras-Antigo Ignacio,Hierba Artificial,"CASTRO CASTRO, MIGUEL ANGEL",S.D. CACHEIRAS,S.D. CRUCES,1187007,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187007&cod_acta=1187007
20,20005965,22010839,9,10-11-2024,16:30,Outeiriño,Hierba Artificial,"FERNANDEZ MONTOUTO, RUBEN",C.F. SILLEDA,"S.D. DUBRA ""B""",1187008,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187008&cod_acta=1187008
20,20005965,22010839,9,10-11-2024,16:45,Mularedos,Hierba Natural,"ENRIQUEZ PEREIRO, OSCAR",LAMELA C.F.,TRAZO C.F.,1187009,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187009&cod_acta=1187009
20,20005965,22010839,9,10-11-2024,16:15,Da Silveira- Camporrapado,Hierba Natural,"SOTO PEREZ, SECUNDINO",A.C.U.D. CAMPORRAPADO,S.D. VILLESTRO,1187010,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187010&cod_acta=1187010
20,20005965,22010839,9,10-11-2024,16:00,Suso Conde,Hierba Artificial,"MIRAZO INSUA, PEDRO",C.D.BELVIS,C.D. SAN MAMED,1187011,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187011&cod_acta=1187011
20,20005965,22010839,9,10-11-2024,17:30,Mcpal. Manuel Regueiro - Antiguo Figueroa,Hierba Artificial,"RODRIGUEZ MUNIN, DANIEL",C.D. SPORT TEAM ESTRADA,C.F. CIRE DE MELIDE,1187012,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187012&cod_acta=1187012
20,20005965,22010839,9,10-11-2024,17:00,Reboredo- Arca- O Pino,Hierba Artificial,"QUINTANA PEREIRO, SERGIO",SOCIEDADE DEPORTIVA O PINO,RODEIRO C.F.,1187013,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187013&cod_acta=1187013
20,20005965,22010839,9,10-11-2024,17:00,O Coto - Val Do Ulla,Hierba Artificial,"GAY CASAL, JAVIER",U.D. VAL DO ULLA,S.D.C. RECESENDE,1187014,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187014&cod_acta=1187014
20,20005965,22010839,10,17-11-2024,20:00,Mpal Do Camballón,Hierba Artificial,"COUTO MENDOZA, OSCAR",S.D. CRUCES,U.D. VAL DO ULLA,1187015,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187015&cod_acta=1187015
20,20005965,22010839,10,17-11-2024,16:00,A Tilleira - Dubra,Hierba Artificial,"GOMEZ GUTIERREZ, ADRIAN JOSE","S.D. DUBRA ""B""",S.D. CACHEIRAS,1187016,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187016&cod_acta=1187016
20,20005965,22010839,10,17-11-2024,16:00,O Xeixo - Trazo,Hierba Natural,"CANAY FERNANDEZ, BRAIS",TRAZO C.F.,C.F. SILLEDA,1187017,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187017&cod_acta=1187017
20,20005965,22010839,10,17-11-2024,16:00,Suso Conde,Hierba Artificial,"RODRIGUEZ VAAMONDE, RUBEN",S.D. VILLESTRO,LAMELA C.F.,1187018,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187018&cod_acta=1187018
20,20005965,22010839,10,17-11-2024,17:00,San Mamed,Hierba Artificial,"FERNANDEZ MONTOUTO, RUBEN",C.D. SAN MAMED,A.C.U.D. CAMPORRAPADO,1187019,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187019&cod_acta=1187019
20,20005965,22010839,10,17-11-2024,17:30,Campo Municipal Jesús Carlos Pampin Rua,Hierba Artificial,"FUENTES GARCIA, IAGO",C.F. CIRE DE MELIDE,C.D.BELVIS,1187020,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187020&cod_acta=1187020
20,20005965,22010839,10,17-11-2024,17:00,A Raña - Rodeiro,Hierba Artificial,"GAY CASAL, JAVIER",RODEIRO C.F.,C.D. SPORT TEAM ESTRADA,1187021,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187021&cod_acta=1187021
